,accel_z,activity_index,app_frame_no,impedance_60kHz,perfusion_index_green,perfusion_index_infrared,phase_60kHz,rr,sleep_state,temp_amb,temp_skin,time_stamp
0,503,210,0,838175.1875,0,0,305,"[462, 1047, 1540, 2025, 1943, 1570, 883]",0,2317,3073,1472965838
1,-776,73,1,832037.75,0,0,304,"[976, 850, 1016, 1135, 1370, 663, 1130, 1021, 761]",0,2319,2814,1472965848
2,-867,33,2,831591.75,19,19,304,"[1271, 2007, 646, 1118, 996, 1579, 1540, 1097]",0,2319,2812,1472965858
3,-128,207,3,831146.25,17,18,305,"[1625, 1036, 1354, 2146, 1980, 1580]",0,2318,2799,1472965868
4,423,307,4,73855.6796875,0,0,329,"[1472, 1539, 1781, 1416, 889, 1253]",0,2372,3003,1472965930
5,802,374,5,27953.08203125,0,0,291,"[1480, 924, 1501, 1444, 1098, 1066, 1109, 2166]",0,2419,3043,1472965940
6,685,207,6,27882.806640625,0,0,293,"[1459, 1142, 845, 772, 530, 1180, 981, 1026, 1140]",0,2454,3066,1472965950
7,316,450,7,84563.2265625,0,0,326,"[1806, 1423, 1426, 1625, 1253, 1159, 873, 1148]",0,2483,3074,1472965960
8,339,765,8,379717.375,0,0,302,"[1116, 1055, 1221, 1215, 433, 1216, 1345, 1330, 1339]",0,2505,3093,1472965970
9,-138,623,9,402730.9375,0,0,306,"[1430, 783, 1035, 1877, 951, 1336, 1243, 1254]",0,2520,3099,1472965980
10,273,281,10,102379.234375,0,0,321,"[860, 709, 583, 1055, 2104, 1985, 1995]",0,2536,3115,1472965990
11,98,160,11,93398.875,0,0,320,"[1500, 1748, 993, 1118, 961, 515, 898, 678, 1344, 1117]",0,2548,3119,1472966000
12,-453,167,12,159489.203125,0,0,317,"[1103, 1122, 1256, 1031, 1504, 774, 1194, 2075]",0,2560,3125,1472966010
13,-741,63,13,91163.4453125,0,0,323,"[1274, 613, 1202, 1841, 1062, 1252, 1426]",0,2565,3127,1472966020
14,-722,45,14,25633.40234375,0,0,293,"[2076, 805, 1160, 1987, 1248, 745, 856, 571, 1136, 1132]",0,2576,3137,1472966030
15,-629,70,15,97992.734375,1,1,324,"[633, 800, 1145, 873, 993, 1121, 2040, 1546]",0,2585,3142,1472966040
16,-505,48,16,86842.515625,2,2,329,"[1758, 1710, 1455, 1159, 1178, 2070]",0,2587,3142,1472966050
17,-673,17,17,225471.71875,1,1,315,"[1526, 1685, 1133, 1133, 735, 848, 1000, 1512, 628, 1114]",0,2593,3142,1472966060
18,-757,60,18,180682.046875,1,1,320,"[1153, 1036, 1572, 1333, 2077, 1786, 930]",0,2599,3142,1472966070
19,-768,13,19,110099.671875,1,1,324,"[1249, 808, 1305, 793, 526, 745, 1003, 1192, 1284, 959]",0,2604,3142,1472966080
20,-767,11,20,99213.7265625,1,1,326,"[1126, 1243, 876, 1226, 570, 682, 1485, 735, 723, 725, 767]",0,2608,3143,1472966090
21,-766,10,21,94387.796875,1,1,327,"[792, 727, 685, 767, 743, 738, 708, 712, 724, 730, 763, 705, 774]",0,2611,3143,1472966100
22,-765,10,22,82914.0078125,3,3,330,"[844, 818, 781, 737, 781, 768, 791, 721, 738, 563, 1075, 1429]",0,2612,3146,1472966110
23,-767,10,23,82160.625,7,6,330,"[768, 800, 859, 566, 750, 858, 680, 1426, 1563, 756, 832]",0,2612,3146,1472966120
24,-766,11,24,70700.2421875,7,7,335,"[804, 1461, 1399, 824, 1470, 746, 990, 1445, 685]",0,2613,3151,1472966130
25,-774,10,25,32600.91796875,6,6,296,"[849, 1238, 1061, 1281, 978, 1398, 831, 1903]",0,2616,3155,1472966140
26,-773,12,26,71227.3203125,6,6,334,"[1665, 1107, 858, 914, 905, 2016, 1128, 747, 1195]",0,2618,3158,1472966150
27,-771,11,27,71198.171875,5,5,334,"[2002, 1514, 1357, 887, 689, 1158, 1338, 1086]",0,2622,3159,1472966160
28,-771,11,28,76819.4140625,5,5,332,"[1173, 1353, 1121, 1645, 1313, 1285, 1306, 739]",0,2626,3162,1472966170
29,-770,9,29,77694.6328125,5,5,331,"[914, 1198, 1128, 1338, 977, 1186, 681, 736, 781, 453, 832]",0,2626,3160,1472966180
30,-770,10,30,71404.2421875,4,4,334,"[1009, 621, 656, 1081, 1075, 923, 970, 1291, 1326, 963, 755]",0,2627,3164,1472966190
31,-768,11,31,27106.984375,4,4,293,"[781, 1231, 758, 980, 1946, 1571, 1724]",0,2630,3165,1472966201
32,-769,10,32,25514.26953125,4,4,294,"[1220, 816, 590, 813, 936, 1330, 881, 1493, 1301, 980]",0,2633,3165,1472966211
33,-767,9,33,23807.47265625,4,4,294,"[1522, 799, 687, 1276, 1022, 1661, 1289, 733, 690, 845]",0,2633,3165,1472966221
34,-769,9,34,22807.755859375,3,3,294,"[708, 771, 992, 1341, 1295, 743, 793, 835, 591, 865]",0,2636,3165,1472966231
35,-767,10,35,23026.384765625,3,3,294,"[1554, 1062, 1098, 1495, 1438, 1045, 1411, 661, 701]",0,2635,3165,1472966241
36,-768,8,36,22639.72265625,3,3,294,"[757, 738, 796, 719, 776, 805, 820, 807, 646, 796, 740, 795, 780, 758]",0,2637,3165,1472966251
37,-768,8,37,22022.638671875,4,4,294,"[765, 845, 832, 806, 1233, 794, 707, 717, 723, 762, 818, 833]",0,2637,3165,1472966261
38,-768,10,38,21757.865234375,3,3,293,"[1384, 825, 685, 828, 713, 850, 722, 802, 788, 1391, 702]",0,2637,3165,1472966271
39,-768,9,39,21315.970703125,3,3,293,"[830, 668, 741, 723, 770, 734, 796, 661, 758, 709, 763, 736, 656, 750]",0,2637,3165,1472966281
40,-767,9,40,20986.24609375,4,4,293,"[749, 814, 755, 725, 769, 748, 754, 690, 743, 758, 758, 754, 750]",0,2638,3165,1472966291
41,-768,10,41,20644.185546875,4,4,293,"[727, 796, 718, 749, 683, 725, 735, 745, 725, 695, 760, 778, 789, 698]",0,2638,3165,1472966301
42,-767,9,42,20358.07421875,5,5,293,"[710, 736, 778, 760, 742, 638, 755, 1404, 1439, 818, 712]",0,2638,3166,1472966311
43,-767,11,43,20183.087890625,5,5,293,"[1448, 1005, 1281, 863, 643, 1446, 845, 782, 750, 873]",0,2638,3166,1472966321
44,-766,10,44,20702.41015625,5,4,293,"[682, 842, 819, 848, 1371, 862, 758, 738, 767, 842, 793, 817]",0,2639,3166,1472966331
45,-766,10,45,20761.0703125,4,4,293,"[763, 761, 828, 823, 794, 781, 827, 810, 837, 750, 738, 789, 769]",0,2639,3166,1472966341
46,-766,10,46,20862.46484375,4,4,293,"[766, 699, 741, 723, 790, 781, 753, 718, 755, 780, 790, 763, 710]",0,2640,3166,1472966351
47,-766,10,47,21153.916015625,5,5,293,"[760, 806, 757, 675, 793, 760, 812, 755, 746, 713, 812, 805, 760]",0,2640,3167,1472966361
48,-766,9,48,20895.025390625,9,9,293,"[690, 806, 811, 813, 713, 740, 791, 803, 780, 777, 734, 800, 793]",0,2640,3166,1472966371
49,-765,10,49,20749.896484375,11,11,293,"[830, 758, 733, 765, 764, 816, 765, 695, 798, 791, 828, 766, 721]",0,2639,3167,1472966381
50,-764,10,50,20928.037109375,14,14,293,"[765, 800, 736, 730, 725, 791, 770, 786, 710, 765, 800, 809, 723]",0,2641,3167,1472966391
51,-765,10,51,20995.06640625,17,16,292,"[738, 750, 777, 806, 735, 740, 747, 826, 815, 761, 750, 1633]",0,2641,3168,1472966401
52,-766,12,52,21694.05078125,17,17,292,"[501, 951, 1277, 848, 1970, 1064, 1000, 1364]",0,2642,3167,1472966411
53,-765,11,53,21720.7734375,16,16,292,"[1494, 1617, 1433, 850, 897, 1268, 921, 648, 873, 835]",0,2641,3167,1472966421
54,-765,10,54,21402.685546875,15,15,292,"[675, 1691, 1450, 928, 599, 903, 1596, 1426, 809]",0,2640,3167,1472966431
55,-766,10,55,21411.689453125,14,14,292,"[1458, 1417, 755, 813, 939, 700, 1546, 925, 993]",0,2642,3167,1472966441
56,-765,9,56,21342.71875,13,13,292,"[1115, 915, 644, 861, 828, 707, 828, 794, 821, 786, 733, 763, 785]",0,2642,3167,1472966451
57,-765,8,57,20955.943359375,13,13,292,"[800, 789, 717, 832, 838, 726, 825, 1420, 803, 771, 833, 657]",0,2642,3167,1472966461
58,-766,9,58,19625.0078125,14,14,292,"[920, 1389, 1593, 1131, 1941, 1657, 883, 760]",0,2641,3167,1472966471
