Hash: 14539, Sign: 1493338, AesGcm: 161010
Hash: 4545, Sign: 2071518, AesGcm: 44393
Hash: 3827, Sign: 1493612, AesGcm: 54396
Hash: 4684, Sign: 1330809, AesGcm: 44609
Hash: 3844, Sign: 1171143, AesGcm: 49634
Hash: 4938, Sign: 1162776, AesGcm: 44186
Hash: 4227, Sign: 2168646, AesGcm: 40100
Hash: 3903, Sign: 1095019, AesGcm: 39745
Hash: 373779, Sign: 1266336, AesGcm: 47225
Hash: 3343, Sign: 1182996, AesGcm: 59766
Hash: 3003, Sign: 1179012, AesGcm: 39807
Hash: 2764, Sign: 1178008, AesGcm: 39575
Hash: 3085, Sign: 3544067, AesGcm: 47122
Hash: 3122, Sign: 1189528, AesGcm: 43034
Hash: 2937, Sign: 1140982, AesGcm: 59340
Hash: 2829, Sign: 1186381, AesGcm: 44417
Hash: 2529, Sign: 1149542, AesGcm: 47811
Hash: 166477, Sign: 1127439, AesGcm: 44178
Hash: 2468, Sign: 1195465, AesGcm: 42786
Hash: 2212, Sign: 1143705, AesGcm: 42958
Hash: 2406, Sign: 1172964, AesGcm: 47957
Hash: 2358, Sign: 1182991, AesGcm: 44681
Hash: 2212, Sign: 1141488, AesGcm: 42691
Hash: 2209, Sign: 1152215, AesGcm: 44381
Hash: 2366, Sign: 1127896, AesGcm: 45904
Hash: 2258, Sign: 1168781, AesGcm: 43942
Hash: 2363, Sign: 1100810, AesGcm: 61772
Hash: 2314, Sign: 1110957, AesGcm: 44071
Hash: 2534, Sign: 5229845, AesGcm: 41300
Hash: 2290, Sign: 1172887, AesGcm: 42803
Hash: 1935, Sign: 1054567, AesGcm: 46870
Hash: 2231, Sign: 1163713, AesGcm: 40176
Hash: 2105, Sign: 1084934, AesGcm: 42836
Hash: 2443, Sign: 2515994, AesGcm: 54610
Hash: 2563, Sign: 1266379, AesGcm: 42267
Hash: 2286, Sign: 1168430, AesGcm: 42679
Hash: 2113, Sign: 1098969, AesGcm: 43615
Hash: 2265, Sign: 1092575, AesGcm: 46744
Hash: 2801, Sign: 4975044, AesGcm: 45053
Hash: 14070, Sign: 1181577, AesGcm: 43897
Hash: 2554, Sign: 1177720, AesGcm: 47087
