chunk_compression, gcm_encryption, ecdsa_signature, lepton_compression, total_creation, dht_store, length normal ,length compressed, final_length
62.835931778, 16.0348415375, 10.5528831482, 356.631994247, 334.808111191, 462.148189545, 360897, 285438, 337173,
111.745119095, 15.3980255127, 10.293006897, 353.379964828, 139.35303688, 389.059066772, 358757, 283782, 335228,
92.6141738892, 13.6370658875, 9.60493087769, 333.763837814, 117.920160294, 369.956970215, 317541, 253551, 293852,
14.5130157471, 4.15110588074, 10.7979774475, 224.411964417, 30.8148860931, 252.203941345, 61179, 24652, 32832,
22.274017334, 5.2969455719, 11.1758708954, 273.460149765, 40.118932724, 194.927930832, 75239, 34595, 46290,
21.3580131531, 5.2809715271, 11.157989502, 245.46289444, 39.2081737518, 250.668048859, 74099, 33837, 45242,
25.4278182983, 6.01601600647, 11.3878250122, 272.739887238, 44.2440509796, 223.020076752, 83102, 40729, 54446,
6.79898262024, 2.66599655151, 9.99903678894, 151.290178299, 20.8520889282, 172.138929367, 42707, 10343, 13996,
48.4709739685, 11.7461681366, 13.4959220886, 371.228933334, 75.2551555634, 247.146844864, 147290, 94843, 120905,
91.2179946899, 13.8778686523, 9.6869468689, 327.924966812, 116.837024689, 319.995880127, 321815, 257455, 298121,
77.2700309753, 13.6330127716, 9.58609580994, 330.099105835, 102.309942245, 347.045898438, 318209, 253815, 294453,
86.8940353394, 13.9570236206, 9.71102714539, 333.52804184, 112.371921539, 317.983150482, 324196, 259095, 300618,
88.9058113098, 15.1691436768, 10.1180076599, 345.221042633, 116.052150726, 389.596223831, 352225, 279855, 328512,
82.6828479767, 15.1629447937, 10.1721286774, 356.774091721, 109.872102737, 342.632055283, 352363, 279500, 328738,
104.736089706, 13.9389038086, 9.66882705688, 330.856800079, 130.235910416, 369.927883148, 323256, 257820, 299521,
12.2849941254, 3.71885299683, 10.5390548706, 217.972993851, 27.9231071472, 194.007873535, 55553, 20129, 27050,
22.2010612488, 5.42092323303, 11.0681056976, 225.188970566, 40.0719642639, 234.977960587, 75699, 35021, 46805,
22.2179889679, 5.34200668335, 11.0869407654, 244.444131851, 40.0848388672, 211.967945099, 75552, 34814, 46585,
26.0071754456, 6.12807273865, 11.3921165466, 268.571853638, 44.939994812, 207.045078278, 84223, 41614, 55058,
8.09597969055, 2.74300575256, 10.1449489594, 190.959215164, 22.2959518433, 165.977954865, 45379, 12341, 16580,
26.930809021, 6.88290596008, 11.7309093475, 312.660932541, 46.9470024109, 253.93986702, 91467, 49133, 63832,
84.7570896149, 14.2600536346, 9.85813140869, 345.659971237, 110.960006714, 313.191890717, 330956, 264210, 307466,
104.909896851, 23.6058235168, 9.5419883728, 317.854166031, 139.8229599, 288.424968719, 309665, 247247, 286244,
82.5979709625, 13.0097866058, 9.39607620239, 317.133903503, 106.98390007, 312.319040298, 302924, 239550, 279000,
90.1598930359, 15.5830383301, 10.2488994598, 362.373828888, 117.766141891, 544.747829437, 360540, 285110, 336735,
107.877969742, 18.5182094574, 9.59801673889, 319.334983826, 138.10300827, 300.796985626, 318181, 255079, 294677,
102.608203888, 15.8100128174, 9.40918922424, 333.035230637, 129.685163498, 323.914051056, 304005, 244223, 280417,
22.0670700073, 5.30600547791, 11.255979538, 273.589849472, 40.5898094177, 511.3530159, 75375, 34737, 46484,
27.9629230499, 6.46090507507, 11.5540027618, 303.425073624, 47.3899841309, 277.934074402, 88908, 45470, 59729,
23.0779647827, 5.57708740234, 11.2011432648, 251.541852951, 41.2728786469, 215.101003647, 76893, 35969, 48008,
23.796081543, 5.62214851379, 11.2969875336, 223.310947418, 42.1299934387, 194.92316246, 78837, 37444, 49946,
7.62486457825, 2.71415710449, 10.2880001068, 155.194044113, 21.9700336456, 181.782960892, 44603, 12075, 16195,
32.4079990387, 8.04209709167, 12.157201767, 288.667917252, 54.0289878845, 219.76685524, 104800, 59749, 77371,
111.742019653, 14.3461227417, 9.85908508301, 332.372903824, 138.170003891, 318.423032761, 333033, 265325, 309408,
97.2459316254, 24.6329307556, 18.2309150696, 306.051015854, 142.062902451, 295.502185822, 293671, 233803, 269931,
110.939025879, 22.2570896149, 9.60993766785, 321.056127548, 144.653081894, 329.31804657, 321534, 254161, 297650,
109.880924225, 15.6519412994, 10.4129314423, 362.402200699, 138.092041016, 353.536128998, 362657, 286825, 338922,
99.8909473419, 15.35820961, 10.1962089539, 398.133993149, 127.363920212, 363.251209259, 355728, 281754, 332127,
82.7059745789, 14.463186264, 9.86099243164, 336.971998215, 109.2710495, 441.22505188, 336310, 267143, 312631,
25.8800983429, 5.99193572998, 11.4269256592, 277.107000351, 44.6832180023, 235.363006592, 83078, 40677, 54237,
23.0917930603, 5.57589530945, 11.2178325653, 250.627994537, 41.3088798523, 201.70211792, 76861, 35837, 47914,
21.968126297, 5.4349899292, 11.2061500549, 221.236944199, 40.0240421295, 213.839054108, 75020, 34476, 46144,
28.6757946014, 6.73508644104, 11.6078853607, 292.848110199, 48.4580993652, 270.853996277, 91132, 47025, 62033,
8.48913192749, 2.84385681152, 10.1912021637, 183.007001877, 22.8579044342, 160.704851151, 45994, 12893, 17660,
23.815870285, 6.25896453857, 11.538028717, 265.525817871, 43.0290699005, 208.194971085, 83834, 42814, 56559,
91.2399291992, 13.6110782623, 9.5648765564, 327.830076218, 116.422176361, 323.429107666, 315883, 252940, 292351,
94.4590568542, 13.6451721191, 9.70196723938, 320.636034012, 119.604110718, 397.835969925, 318200, 253413, 294728,
85.0222110748, 13.2730007172, 9.43183898926, 319.159984589, 109.674215317, 310.469865799, 308871, 243861, 285048,
