,accel_z,activity_index,app_frame_no,impedance_60kHz,perfusion_index_green,perfusion_index_infrared,phase_60kHz,rr,rr_quality,sleep_state,temp_amb,temp_skin,time_stamp
0,66,123,0,76162.96875,0,0,329,"[521, 1326, 2668, 1125, 1253, 981, 1032]",22,0,2272,2918,1473888505
1,321,108,1,72770.2109375,0,0,331,"[1907, 1913, 960, 681, 700, 1018, 966, 829, 919]",33,0,2318,2955,1473888515
2,533,43,2,72606.8125,0,0,331,"[1628, 1489, 1516, 905, 888, 913, 738, 1619, 1045]",58,0,2362,2991,1473888525
3,616,11,3,72029.6875,35,0,331,"[822, 936, 887, 941, 936, 946, 940, 942, 905, 883, 969]",65,0,2398,3022,1473888535
4,7,63,4,68840.84375,0,0,333,"[1468, 1394, 1566, 1951, 1350, 913, 1037]",35,0,2540,3118,1473888630
5,-36,145,5,67999.65625,31,34,333,"[703, 701, 1351, 1867, 1041, 1139, 1161, 1788]",31,0,2565,3140,1473888640
6,-572,24,6,68525.3828125,32,32,333,"[1149, 1095, 1640, 1133, 1241, 1024, 837, 971]",87,0,2586,3156,1473888650
7,-581,16,7,68221.328125,33,33,333,"[1248, 1360, 1025, 1439, 1639, 852, 1170, 1350, 966]",100,0,2600,3165,1473888659
8,-530,13,8,69139.375,37,37,333,"[868, 825, 919, 875, 985, 716, 813, 952, 720, 884, 898]",100,0,2615,3169,1473888669
9,-523,18,9,68431.0078125,41,41,333,"[1624, 980, 989, 820, 1216, 1292, 1599, 861, 1030]",100,0,2624,3185,1473888679
10,-487,12,10,68996.484375,44,44,333,"[688, 896, 895, 870, 835, 874, 863, 866, 851, 838, 858, 756]",100,0,2634,3188,1473888689
11,-542,14,11,68532.984375,48,48,333,"[933, 916, 1043, 938, 927, 945, 926, 886, 904, 885, 866]",100,0,2645,3188,1473888699
12,-689,236,12,69302.578125,51,51,333,"[970, 1663, 890, 838, 2045, 1228, 2096]",52,0,2649,3188,1473888709
13,-505,104,13,67862.7890625,51,51,334,"[1080, 713, 1018, 748, 1156, 888, 767, 1189, 805, 760, 1000]",25,0,2653,3191,1473888719
14,-357,234,14,70613.71875,48,48,332,"[1215, 1078, 1470, 1191, 1194, 1116, 731, 1468]",25,0,2665,3207,1473888729
15,-454,84,15,67006.609375,44,45,334,"[1050, 945, 1119, 888, 928, 1010, 796, 986, 1066, 740, 828]",27,0,2671,3211,1473888739
16,-416,70,16,78018.671875,42,42,329,"[782, 980, 1228, 2121, 1971, 1303, 779, 893]",23,0,2674,3212,1473888749
17,-660,183,17,73987.2421875,40,39,331,"[710, 903, 1728, 1039, 681, 1981, 1820]",25,0,2676,3212,1473888759
18,-679,42,18,73257.421875,37,37,331,"[1599, 726, 854, 1035, 1481, 842, 891, 943, 888, 873, 996]",31,0,2685,3212,1473888769
19,-677,12,19,72764.03125,35,35,331,"[857, 922, 921, 920, 861, 938, 896, 866, 889, 906, 885]",59,0,2694,3213,1473888779
20,-835,90,20,69451.921875,0,0,332,"[1048, 465, 1660, 1698, 1806, 2392]",22,0,2705,3235,1473888930
21,-381,103,21,69190.484375,12,13,332,"[1398, 1123, 1648, 1031, 783, 1192, 1975]",32,0,2722,3243,1473888940
22,157,28,22,69599.5703125,13,13,332,"[1565, 1277, 1000, 916, 828, 870, 844, 810, 910, 859, 800]",79,0,2730,3258,1473888950
23,-199,69,23,73777.6796875,16,15,330,"[880, 871, 831, 820, 829, 791, 821, 839, 826, 390, 953, 1229]",75,0,2745,3259,1473888960
24,-874,73,24,73850.859375,18,18,330,"[1251, 1305, 1697, 1752, 1401, 2003, 1310]",22,0,2750,3263,1473888969
25,-817,49,25,71657.1171875,18,18,331,"[1145, 1495, 895, 844, 834, 902, 1510, 1230]",34,0,2753,3278,1473888979
26,-703,104,26,69578.5546875,17,17,332,"[1623, 1624, 1441, 1600, 901, 1627, 975]",25,0,2761,3282,1473888989
27,-630,13,27,69629.328125,16,16,332,"[1645, 873, 905, 881, 876, 875, 895, 850, 902, 901, 885, 861]",56,0,2768,3282,1473888999
28,-640,11,28,69654.703125,16,16,332,"[854, 841, 822, 818, 850, 849, 844, 881, 882, 868, 875]",100,0,2773,3282,1473889009
29,-642,12,29,69699.1484375,20,20,332,"[888, 870, 867, 864, 872, 852, 857, 861, 863, 865, 875, 876]",100,0,2775,3282,1473889019
30,-644,11,30,69812.984375,25,25,332,"[841, 843, 859, 885, 822, 880, 875, 877, 901, 911, 886]",100,0,2775,3282,1473889029
31,-642,12,31,69787.6640625,30,29,332,"[887, 911, 927, 901, 903, 1021, 1664, 871, 836, 821, 825]",72,0,2775,3282,1473889039
32,-642,11,32,69857.328125,33,32,331,"[840, 861, 841, 856, 854, 862, 852, 829, 816, 831, 875]",100,0,2777,3282,1473889049
33,-644,11,33,69920.78125,36,35,331,"[886, 883, 900, 904, 880, 891, 916, 927, 913, 911, 924]",100,0,2779,3282,1473889059
34,-646,10,34,70041.8984375,40,39,331,"[919, 896, 876, 896, 904, 898, 900, 926, 948, 926, 915]",100,0,2784,3285,1473889069
35,-644,11,35,70125.046875,43,43,331,"[924, 916, 879, 871, 896, 881, 890, 902, 922, 894, 861, 850]",100,0,2787,3288,1473889079
36,462,65,36,73178.1953125,0,0,330,"[1488, 1291, 1554, 1926, 1938, 1243]",41,0,2860,3353,1473889860
37,551,15,37,73518.796875,52,59,330,"[805, 868, 861, 846, 783, 861, 814, 822, 837, 838, 781, 872]",100,0,2875,3370,1473889870
38,540,15,38,74295.3828125,59,62,329,"[817, 914, 973, 671, 863, 900, 935, 848, 875, 818, 841]",100,0,2883,3377,1473889880
39,546,22,39,74986.5546875,62,64,329,"[881, 873, 876, 891, 759, 937, 971, 806, 895, 872, 903, 941]",68,0,2893,3377,1473889890
40,-496,17,40,72595.078125,0,0,333,"[1046, 462, 1239, 1818, 1928, 1140, 863, 983]",53,0,2855,3343,1473891180
41,-450,33,41,78710.1640625,45,51,333,"[779, 674, 1131, 2035, 1523, 1284, 916, 940, 861]",31,0,2868,3353,1473891190
42,-458,12,42,36639.9609375,48,50,299,"[921, 865, 949, 941, 943, 963, 751, 826, 1076, 785, 960]",38,0,2875,3354,1473891200
43,-476,10,43,33339.6796875,46,48,299,"[916, 849, 917, 965, 888, 904, 920, 909, 910, 913, 926]",61,0,2876,3361,1473891210
44,-473,10,44,31773.060546875,45,47,299,"[886, 886, 934, 836, 898, 912, 883, 877, 901, 931, 894]",65,0,2885,3371,1473891219
45,-470,10,45,29264.640625,45,47,300,"[888, 966, 1673, 1958, 963, 903, 945, 908, 933]",36,0,2889,3376,1473891229
46,-473,9,46,28493.423828125,42,44,300,"[874, 901, 919, 899, 959, 921, 931, 927, 930, 923, 904]",61,0,2890,3376,1473891239
47,-472,9,47,27951.90625,42,44,300,"[925, 896, 899, 940, 916, 930, 931, 906, 910, 916]",77,0,2889,3376,1473891249
48,-487,23,48,25322.69140625,42,44,301,"[900, 976, 836, 761, 1089, 1132, 958, 593, 1013, 1008]",35,0,2887,3376,1473891259
49,-483,12,49,24926.279296875,41,42,301,"[1753, 1060, 907, 930, 878, 917, 897, 874, 947, 1000, 901]",47,0,2882,3375,1473891269
50,-482,10,50,24779.74609375,40,41,301,"[928, 938, 900, 971, 958, 968, 973, 936, 919, 931, 890]",90,0,2880,3371,1473891279
51,-479,10,51,24202.09765625,41,43,301,"[908, 911, 1009, 1053, 1077, 1105, 1074, 1073, 988]",72,0,2880,3369,1473891289
52,-510,18,52,23452.357421875,43,44,301,"[1001, 951, 932, 931, 933, 910, 1132, 1684, 973, 952]",45,0,2880,3368,1473891299
53,-591,58,53,24019.48046875,41,42,301,"[886, 945, 902, 961, 919, 958, 878, 958, 869, 1182]",57,0,2879,3364,1473891309
54,-647,53,54,23022.62890625,40,41,301,"[2135, 1137, 764, 941, 1337, 1283, 712, 1621, 1093]",23,0,2880,3365,1473891319
55,-748,82,55,22336.46875,38,39,301,"[924, 1263, 1368, 1009, 961, 858, 928, 929, 1017]",30,0,2880,3367,1473891329
56,-526,17,56,21470.568359375,35,37,302,"[1033, 899, 1020, 720, 965, 876, 967, 966, 965, 1020, 964]",40,0,2880,3365,1473891339
57,-573,18,57,21095.916015625,34,35,302,"[827, 1001, 873, 951, 966, 879, 852, 971, 936, 1238, 903]",31,0,2880,3365,1473891349
58,-719,61,58,20654.34765625,33,33,303,"[1195, 1204, 951, 1046, 1087, 1266, 2090]",26,0,2879,3364,1473891359
59,-696,82,59,19862.35546875,31,30,303,"[1701, 1354, 1363, 1400, 1244, 919, 903, 888, 976]",25,0,2879,3364,1473891369
60,-699,77,60,19789.16796875,29,28,305,"[1150, 1507, 1431, 1703, 1544, 917, 996, 894]",34,0,2879,3363,1473891379
61,-549,63,61,17256.869140625,27,27,303,"[894, 975, 923, 758, 935, 1635, 1055, 945, 1094]",30,0,2879,3358,1473891389
62,-600,70,62,18062.275390625,25,26,304,"[1191, 1249, 1003, 1138, 1443, 1054, 1010, 1019, 905]",33,0,2880,3361,1473891399
63,-534,27,63,17760.1796875,23,24,304,"[1881, 1686, 915, 833, 903, 974, 1671, 773, 1045]",27,0,2880,3361,1473891409
64,-574,12,64,17744.70703125,22,22,304,"[859, 924, 883, 978, 740, 975, 930, 913, 971, 917, 883]",43,0,2880,3358,1473891419
65,-596,12,65,17871.302734375,21,22,304,"[953, 843, 942, 919, 923, 912, 855, 956, 1007, 1026]",77,0,2880,3357,1473891429
66,-607,10,66,18160.171875,23,24,303,"[1064, 1058, 1046, 964, 950, 938, 878, 868, 913, 911, 859]",100,0,2880,3360,1473891439
67,-606,10,67,18365.875,27,27,303,"[950, 922, 953, 908, 902, 900, 893, 853, 832, 833, 933]",100,0,2879,3356,1473891449
68,-555,19,68,18754.216796875,31,31,304,"[1115, 973, 1252, 1291, 1089, 960, 979, 891, 838, 851]",60,0,2879,3353,1473891459
69,-544,19,69,18765.197265625,33,33,303,"[860, 918, 893, 991, 1160, 1648, 1518, 1009, 944]",41,0,2878,3354,1473891469
70,-528,60,70,18606.45703125,31,32,304,"[990, 1005, 990, 950, 1173, 1055, 903, 784, 485, 725]",27,0,2877,3354,1473891479
71,-376,54,71,17636.5390625,29,30,302,"[1725, 1493, 1216, 1888, 1862, 1646, 889]",28,0,2877,3353,1473891489
