,accel_z,activity_index,app_frame_no,impedance_60kHz,perfusion_index_green,perfusion_index_infrared,phase_60kHz,rr,sleep_state,temp_amb,temp_skin,time_stamp
0,57,228,0,17645.71484375,0,0,291,"[505, 1221, 999, 1330, 1540, 1633, 1084]",0,1873,2672,1472962935
1,-122,161,1,11908.5546875,0,0,293,"[1080, 1780, 1916, 1246, 632, 2241, 1243]",0,1939,2733,1472962945
2,41,186,2,10124.3828125,0,0,294,"[1096, 1499, 1705, 1050, 1101, 1130, 857, 670, 1010, 841]",0,1996,2775,1472962955
3,-168,184,3,8986.5263671875,0,0,295,"[982, 1526, 1101, 1425, 743, 1170, 1775, 1156]",0,2043,2801,1472962965
4,-102,244,4,8227.9775390625,0,0,295,"[1112, 1083, 1321, 1774, 1378, 1276, 1133]",0,2082,2821,1472962976
5,-9,246,5,7558.572265625,0,0,295,"[2043, 1482, 875, 1415, 981, 1346, 1390, 1188]",0,2119,2839,1472962986
6,-387,277,6,6958.42919921875,0,0,295,"[1130, 1613, 1350, 1244, 964, 1162, 1102, 1096]",0,2149,2859,1472962996
7,-681,282,7,6333.9111328125,0,0,296,"[1282, 1236, 1528, 1216, 1151, 1328, 1244, 1306]",0,2177,2877,1472963006
8,-681,223,8,6041.47314453125,0,0,296,"[1170, 1211, 1036, 1129, 1249, 1077, 1058, 970, 1091]",0,2202,2890,1472963016
9,-383,178,9,5775.546875,0,0,296,"[978, 918, 1087, 1043, 935, 1103, 1084, 991, 1507]",0,2225,2906,1472963026
10,64,153,10,5548.11767578125,0,0,296,"[1411, 1702, 1038, 1250, 1037, 965, 1108, 1573]",0,2243,2924,1472963036
11,160,129,11,5345.6904296875,0,0,296,"[1318, 1469, 1488, 1038, 1110, 979, 1088, 867, 1036]",0,2262,2931,1472963046
12,377,105,12,5183.33349609375,20,0,296,"[1204, 1710, 853, 1398, 1046, 1678, 1180]",0,2285,2951,1472963056
13,-148,134,13,5034.08447265625,19,0,296,"[1813, 994, 895, 1253, 870, 1274, 2194, 1081]",0,2298,2954,1472963066
14,-27,225,14,4916.625,18,0,296,"[1489, 2040, 816, 839, 1382, 1660, 1166, 1440]",0,2313,2966,1472963076
15,-232,309,15,4787.9404296875,17,0,295,"[1338, 1136, 1373, 1412, 1399, 1061, 1221, 1017]",0,2329,2977,1472963086
16,88,176,16,4684.552734375,16,0,295,"[912, 1018, 1077, 1097, 898, 1128, 1071, 890, 1223]",0,2339,2979,1472963096
17,-171,98,17,4581.62939453125,15,0,295,"[1597, 1367, 1202, 979, 1251, 1022, 1474, 1555]",0,2356,2993,1472963107
18,-53,143,18,4490.935546875,14,0,295,"[968, 1076, 2188, 920, 1276, 1163, 2523]",0,2365,3001,1472963117
19,-374,254,19,4405.763671875,13,0,295,"[1262, 1830, 1026, 1074, 1033, 2086, 1908]",0,2375,3001,1472963127
20,-7,124,20,4334.13671875,12,0,295,"[1328, 1196, 1035, 1127, 1371, 1461, 1813]",0,2390,3012,1472963137
21,-151,304,21,4245.27685546875,11,0,295,"[1321, 1651, 734, 1165, 882, 1141, 1305, 970]",0,2393,3024,1472963147
22,322,252,22,4179.34814453125,10,0,295,"[1713, 1270, 1050, 1717, 1188, 930, 1135, 1041, 1153]",0,2412,3024,1472963157
23,399,119,23,4132.306640625,10,0,295,"[1305, 1471, 675, 990, 1818, 1448, 1209]",0,2418,3026,1472963167
