Body
Date,Weight,BMI,Fat
"01-10-2016","72.42","24.2","15.088"
"02-10-2016","72.34","24.17","15.088"
"03-10-2016","72.25","24.14","15.088"
"04-10-2016","72.16","24.11","15.088"
"05-10-2016","71.34","23.84","15.123"
"06-10-2016","71.4","23.86","15.223"
"07-10-2016","71.46","23.88","15.324"
"08-10-2016","71.73","23.97","15.334"
"09-10-2016","72.01","24.06","15.344"
"10-10-2016","72.28","24.15","15.354"
"11-10-2016","71.65","23.94","15.512"
"12-10-2016","71.02","23.73","15.67"
"13-10-2016","71.12","23.76","15.529"
"14-10-2016","71.22","23.8","15.387"
"15-10-2016","71.7","23.96","15.1"
"16-10-2016","71.67","23.95","15.506"
"17-10-2016","71.64","23.94","15.912"
"18-10-2016","71.61","23.93","16.32"
"19-10-2016","71.69","23.95","16.338"
"20-10-2016","71.76","23.98","16.356"
"21-10-2016","71.84","24","16.374"
"22-10-2016","71.92","24.03","16.393"
"23-10-2016","71.61","23.93","16.042"
"24-10-2016","72.03","24.07","16.142"
"25-10-2016","72.08","24.08","16.156"
"26-10-2016","72.13","24.1","16.17"
"27-10-2016","72.18","24.12","16.184"
"28-10-2016","72.23","24.13","16.201"
"29-10-2016","72.07","24.08","16.028"
"30-10-2016","71.9","24.02","15.854"
"31-10-2016","71.9","24.02","15.92"

Activities
Date,Calories Burned,Steps,Distance,Floors,Minutes Sedentary,Minutes Lightly Active,Minutes Fairly Active,Minutes Very Active,Activity Calories
"01-10-2016","1,661","0","0","0","1,440","0","0","0","0"
"02-10-2016","1,660","0","0","0","1,440","0","0","0","0"
"03-10-2016","1,660","0","0","0","1,440","0","0","0","0"
"04-10-2016","1,659","0","0","0","1,440","0","0","0","0"
"05-10-2016","1,967","4,809","3.45","0","1,375","32","12","21","391"
"06-10-2016","2,522","6,348","4.94","15","1,157","204","27","12","1,007"
"07-10-2016","2,409","4,956","3.56","5","682","242","0","0","906"
"08-10-2016","2,778","15,363","11.09","1","603","203","55","32","1,438"
"09-10-2016","3,021","14,033","10.27","143","567","324","65","5","1,697"
"10-10-2016","3,075","17,194","12.35","32","587","278","79","29","1,762"
"11-10-2016","2,597","10,118","7.26","45","721","213","20","26","1,171"
"12-10-2016","2,545","6,420","4.61","26","704","229","20","13","1,089"
"13-10-2016","2,815","9,813","7.28","44","631","268","37","19","1,418"
"14-10-2016","2,521","7,889","5.66","30","710","200","29","9","1,019"
"15-10-2016","2,642","11,879","8.53","38","649","163","38","47","1,223"
"16-10-2016","2,027","2,854","2.05","4","730","130","0","0","476"
"17-10-2016","2,917","11,310","8.12","39","609","275","34","35","1,554"
"18-10-2016","2,424","7,460","5.36","21","777","189","11","1","888"
"19-10-2016","2,729","9,906","7.11","35","701","238","21","25","1,280"
"20-10-2016","2,539","8,273","5.94","21","714","205","7","8","1,018"
"21-10-2016","2,848","11,913","8.61","38","623","276","29","21","1,474"
"22-10-2016","3,106","13,844","10.49","32","592","140","29","96","1,610"
"23-10-2016","2,639","6,482","4.65","20","662","139","27","51","1,121"
"24-10-2016","2,693","9,608","6.9","32","638","300","3","6","1,290"
"25-10-2016","2,842","11,534","8.27","41","633","220","49","40","1,423"
"26-10-2016","2,603","7,280","5.23","28","691","234","29","1","1,155"
"27-10-2016","2,679","9,851","7.06","32","696","226","21","28","1,217"
"28-10-2016","2,566","10,574","7.59","25","763","160","19","36","1,087"
"29-10-2016","2,194","5,395","3.87","23","765","136","2","8","637"
"30-10-2016","2,341","5,956","4.28","24","650","143","9","25","805"
"31-10-2016","2,875","9,989","7.17","24","581","330","17","11","1,490"

Sleep
Date,Minutes Asleep,Minutes Awake,Number of Awakenings,Time in Bed
"01-10-2016","0","0","0","0"
"02-10-2016","0","0","0","0"
"03-10-2016","0","0","0","0"
"04-10-2016","0","0","0","0"
"05-10-2016","0","0","0","0"
"06-10-2016","0","0","0","0"
"07-10-2016","488","61","2","550"
"08-10-2016","457","42","1","499"
"09-10-2016","467","33","1","500"
"10-10-2016","424","66","4","490"
"11-10-2016","388","49","2","443"
"12-10-2016","448","27","4","486"
"13-10-2016","449","50","2","499"
"14-10-2016","433","24","2","457"
"15-10-2016","543","35","2","578"
"16-10-2016","458","46","2","504"
"17-10-2016","494","56","3","553"
"18-10-2016","432","31","1","463"
"19-10-2016","421","43","1","464"
"20-10-2016","434","25","2","469"
"21-10-2016","492","33","1","528"
"22-10-2016","551","31","2","583"
"23-10-2016","474","31","2","505"
"24-10-2016","492","48","5","547"
"25-10-2016","447","47","1","500"
"26-10-2016","447","27","1","474"
"27-10-2016","455","25","2","480"
"28-10-2016","431","29","3","462"
"29-10-2016","487","17","2","504"
"30-10-2016","589","49","4","638"
"31-10-2016","469","32","2","501"

