Body
Date,Weight,BMI,Fat
"01-11-2016","71.9","24.02","15.942"
"02-11-2016","71.9","24.02","15.986"
"03-11-2016","71.9","24.02","16.02"
"04-11-2016","71.9","24.02","16.054"
"05-11-2016","70.64","23.6","15.557"
"06-11-2016","71.23","23.8","15.458"
"07-11-2016","71.82","24","15.359"
"08-11-2016","71.83","24","15.376"
"09-11-2016","71.84","24","15.393"
"10-11-2016","71.84","24","15.41"
"11-11-2016","71.85","24.01","15.427"
"12-11-2016","71.86","24.01","15.444"
"13-11-2016","71.87","24.01","15.461"
"14-11-2016","71.88","24.02","15.478"
"15-11-2016","71.88","24.02","15.495"
"16-11-2016","71.89","24.02","15.512"
"17-11-2016","71.9","24.02","15.531"
"18-11-2016","72.08","24.08","15.542"
"19-11-2016","72.27","24.15","15.553"
"20-11-2016","72.45","24.21","15.564"
"21-11-2016","72.49","24.22","15.575"
"22-11-2016","72.53","24.24","15.586"
"23-11-2016","72.58","24.25","15.597"
"24-11-2016","72.62","24.26","15.608"
"25-11-2016","72.66","24.28","15.619"
"26-11-2016","72.7","24.29","15.63"
"27-11-2016","72.74","24.31","15.641"
"28-11-2016","72.79","24.32","15.652"
"29-11-2016","72.83","24.33","15.663"
"30-11-2016","72.87","24.35","15.68"

Activities
Date,Calories Burned,Steps,Distance,Floors,Minutes Sedentary,Minutes Lightly Active,Minutes Fairly Active,Minutes Very Active,Activity Calories
"01-11-2016","2,597","7,210","5.15","33","645","208","24","17","1,098"
"02-11-2016","2,478","6,741","4.84","18","752","204","3","11","933"
"03-11-2016","3,142","14,625","9.24","66","761","172","33","49","1,350"
"04-11-2016","2,501","8,841","6.3","29","973","225","2","8","1,026"
"05-11-2016","2,620","8,515","6.11","5","619","281","21","0","1,226"
"06-11-2016","2,298","5,133","3.69","5","740","195","0","0","764"
"07-11-2016","2,947","12,894","9.26","20","533","367","7","17","1,652"
"08-11-2016","3,133","12,780","9.24","29","542","395","32","24","1,874"
"09-11-2016","2,395","6,876","4.94","11","743","245","2","7","974"
"10-11-2016","2,366","5,480","3.93","14","716","219","8","0","872"
"11-11-2016","2,636","7,712","5.72","18","586","253","10","13","1,164"
"12-11-2016","3,027","11,733","8.42","22","586","319","14","37","1,671"
"13-11-2016","2,231","6,123","4.51","7","763","170","8","2","739"
"14-11-2016","2,308","4,873","3.5","16","773","184","0","0","750"
"15-11-2016","2,650","8,342","5.99","28","694","208","17","31","1,179"
"16-11-2016","2,566","7,768","5.58","30","773","177","19","26","1,038"
"17-11-2016","2,684","7,407","5.32","31","718","170","20","46","1,152"
"18-11-2016","2,688","9,667","6.94","31","735","241","13","18","1,194"
"19-11-2016","2,154","3,963","2.85","13","792","119","0","0","523"
"20-11-2016","2,099","3,270","2.35","6","844","129","0","0","489"
"21-11-2016","2,735","7,828","5.62","27","633","267","13","15","1,248"
"22-11-2016","2,631","7,691","5.52","26","700","223","16","10","1,121"
"23-11-2016","1,981","1,564","1.12","0","828","113","0","0","363"
"24-11-2016","2,526","6,274","4.5","18","1,181","236","0","0","986"
"25-11-2016","2,717","9,466","6.85","29","689","258","18","21","1,285"
"26-11-2016","2,934","8,743","6.28","17","597","405","7","2","1,576"
"27-11-2016","2,558","5,545","3.98","11","630","293","0","0","1,135"
"28-11-2016","2,028","5,099","3.66","0","831","68","6","10","450"
"29-11-2016","2,662","8,504","6.11","23","626","238","20","21","1,215"
"30-11-2016","2,583","7,767","5.58","25","614","231","9","8","1,092"

Sleep
Date,Minutes Asleep,Minutes Awake,Number of Awakenings,Time in Bed
"01-11-2016","439","19","2","462"
"02-11-2016","478","38","2","517"
"03-11-2016","407","54","2","462"
"04-11-2016","168","10","0","190"
"05-11-2016","535","26","3","561"
"06-11-2016","453","45","0","501"
"07-11-2016","398","49","3","447"
"08-11-2016","478","42","2","520"
"09-11-2016","371","9","0","380"
"10-11-2016","517","27","2","553"
"11-11-2016","510","74","3","585"
"12-11-2016","453","27","0","484"
"13-11-2016","428","42","1","472"
"14-11-2016","449","57","2","506"
"15-11-2016","464","27","1","491"
"16-11-2016","406","28","2","445"
"17-11-2016","438","36","2","486"
"18-11-2016","403","28","0","433"
"19-11-2016","490","39","2","529"
"20-11-2016","409","28","2","437"
"21-11-2016","456","27","1","483"
"22-11-2016","498","38","1","536"
"23-11-2016","467","43","2","511"
"24-11-2016","0","0","0","0"
"25-11-2016","453","24","1","477"
"26-11-2016","406","23","1","429"
"27-11-2016","407","23","4","430"
"28-11-2016","540","38","3","578"
"29-11-2016","469","44","2","513"
"30-11-2016","503","30","1","538"

