Body
Date,Weight,BMI,Fat
"01-12-2016","73","24.39","15.795"
"02-12-2016","73.01","24.39","15.795"
"03-12-2016","73.02","24.4","15.795"
"04-12-2016","73.02","24.4","15.795"
"05-12-2016","73.03","24.4","15.795"
"06-12-2016","73.04","24.4","15.795"
"07-12-2016","73.05","24.41","15.795"
"08-12-2016","73.06","24.41","15.795"
"09-12-2016","73.06","24.41","15.795"
"10-12-2016","73.07","24.42","15.795"
"11-12-2016","73.08","24.42","15.795"
"12-12-2016","73.09","24.42","15.795"
"13-12-2016","73.1","24.42","15.795"
"14-12-2016","73.1","24.43","15.795"
"15-12-2016","73.11","24.43","15.795"
"16-12-2016","73.12","24.43","15.795"
"17-12-2016","73.13","24.43","15.795"
"18-12-2016","73.14","24.44","15.795"
"19-12-2016","73.14","24.44","15.795"
"20-12-2016","73.15","24.44","15.795"
"21-12-2016","73.16","24.44","15.795"
"22-12-2016","73.17","24.45","15.795"
"23-12-2016","73.18","24.45","15.795"
"24-12-2016","73.18","24.45","15.795"
"25-12-2016","73.19","24.46","15.795"
"26-12-2016","73.2","24.46","15.795"
"27-12-2016","73.21","24.46","15.795"
"28-12-2016","73.22","24.46","15.795"
"29-12-2016","73.22","24.47","15.795"
"30-12-2016","73.23","24.47","15.795"
"31-12-2016","73.24","24.47","15.795"

Activities
Date,Calories Burned,Steps,Distance,Floors,Minutes Sedentary,Minutes Lightly Active,Minutes Fairly Active,Minutes Very Active,Activity Calories
"01-12-2016","2,666","8,575","6.16","32","613","227","10","28","1,190"
"02-12-2016","2,454","7,973","5.72","29","700","174","12","28","932"
"03-12-2016","2,538","8,108","5.82","10","696","162","6","23","952"
"04-12-2016","2,381","8,454","6.07","9","741","133","6","33","823"
"05-12-2016","2,721","8,459","6.07","39","586","252","11","13","1,243"
"06-12-2016","2,494","6,660","4.78","22","732","161","34","15","954"
"07-12-2016","2,416","7,179","5.15","35","743","123","15","30","854"
"08-12-2016","2,148","3,846","2.73","13","829","119","5","7","536"
"09-12-2016","2,766","9,181","6.59","33","711","216","29","19","1,243"
"10-12-2016","2,396","6,257","4.49","14","697","176","4","9","802"
"11-12-2016","2,247","4,193","3.01","14","732","133","3","8","605"
"12-12-2016","2,527","6,759","4.85","31","725","203","0","0","938"
"13-12-2016","2,234","8,267","6.13","0","823","84","3","23","684"
"14-12-2016","2,380","6,832","4.91","30","1,269","139","11","21","817"
"15-12-2016","2,577","7,239","5.2","33","736","187","22","16","1,065"
"16-12-2016","2,759","6,552","4.7","17","690","209","31","31","1,246"
"17-12-2016","2,752","8,824","6.34","20","547","268","15","21","1,326"
"18-12-2016","3,066","9,254","6.17","25","227","592","26","39","2,142"
"19-12-2016","3,170","10,669","7.66","28","661","758","1","20","2,398"
"20-12-2016","3,253","8,851","6.4","0","666","752","9","13","2,462"
"21-12-2016","2,697","10,069","7.23","27","1,188","202","19","31","1,233"
"22-12-2016","2,601","7,873","5.65","49","674","253","4","12","1,133"
"23-12-2016","3,247","13,236","9.7","17","590","300","43","42","1,878"
"24-12-2016","2,716","8,777","6.3","29","572","318","11","3","1,307"
"25-12-2016","2,594","6,129","4.4","16","561","315","0","0","1,154"
"26-12-2016","2,398","7,833","5.62","12","635","177","0","31","899"
"27-12-2016","2,622","6,479","4.65","15","1,139","242","32","5","1,163"
"28-12-2016","2,290","4,649","3.34","13","824","184","0","0","742"
"29-12-2016","1,999","1,521","1.09","0","1,343","97","0","0","340"
"30-12-2016","2,418","5,619","4.03","10","750","171","15","23","880"
"31-12-2016","2,199","2,937","2.11","27","702","157","11","0","602"

Sleep
Date,Minutes Asleep,Minutes Awake,Number of Awakenings,Time in Bed
"01-12-2016","529","56","3","590"
"02-12-2016","498","32","0","530"
"03-12-2016","578","38","2","616"
"04-12-2016","498","29","1","527"
"05-12-2016","423","34","0","457"
"06-12-2016","540","57","3","597"
"07-12-2016","459","41","2","500"
"08-12-2016","505","26","1","531"
"09-12-2016","412","52","3","465"
"10-12-2016","523","31","2","554"
"11-12-2016","500","61","1","561"
"12-12-2016","466","41","1","507"
"13-12-2016","453","54","3","515"
"14-12-2016","0","0","0","0"
"15-12-2016","434","38","2","479"
"16-12-2016","442","37","1","479"
"17-12-2016","553","36","4","589"
"18-12-2016","526","30","2","556"
"19-12-2016","0","0","0","0"
"20-12-2016","0","0","0","0"
"21-12-2016","0","0","0","0"
"22-12-2016","463","33","2","497"
"23-12-2016","448","15","0","465"
"24-12-2016","499","19","0","518"
"25-12-2016","536","46","4","582"
"26-12-2016","545","52","1","597"
"27-12-2016","0","0","0","0"
"28-12-2016","434","19","1","453"
"29-12-2016","0","0","0","0"
"30-12-2016","459","22","1","481"
"31-12-2016","528","32","2","570"

