Body
Date,Weight,BMI,Fat
"01-01-2017","73.22","24.46","15.883"
"02-01-2017","73.25","24.47","15.883"
"03-01-2017","73.41","24.53","15.841"
"04-01-2017","73.56","24.58","15.798"
"05-01-2017","74.15","24.78","15.866"
"06-01-2017","74.14","24.77","15.416"
"07-01-2017","74.13","24.77","14.966"
"08-01-2017","74.13","24.77","14.516"
"09-01-2017","74.12","24.76","14.066"
"10-01-2017","74.11","24.76","13.616"
"11-01-2017","74.1","24.76","13.166"
"12-01-2017","74.09","24.76","12.716"
"13-01-2017","74.09","24.75","12.266"
"14-01-2017","74.08","24.75","11.816"
"15-01-2017","74.07","24.75","11.366"
"16-01-2017","74.06","24.75","10.916"
"17-01-2017","74.05","24.74","10.466"
"18-01-2017","74.05","24.74","10.016"
"19-01-2017","74.04","24.74","9.566"
"20-01-2017","74.03","24.74","9.116"
"21-01-2017","74.01","24.73","8.659"
"22-01-2017","73.74","24.64","8.845"
"23-01-2017","73.47","24.55","9.031"
"24-01-2017","73.28","24.48","9.024"
"25-01-2017","74.25","24.81","8.972"
"26-01-2017","75.22","25.13","8.92"
"27-01-2017","75.12","25.1","8.905"
"28-01-2017","75.01","25.06","8.89"
"29-01-2017","74.91","25.03","8.875"
"30-01-2017","74.81","25","8.86"
"31-01-2017","74.71","24.96","8.845"

Activities
Date,Calories Burned,Steps,Distance,Floors,Minutes Sedentary,Minutes Lightly Active,Minutes Fairly Active,Minutes Very Active,Activity Calories
"01-01-2017","2,469","5,495","3.95","2","1,218","171","21","30","939"
"02-01-2017","2,447","5,047","3.67","11","1,199","217","8","2","949"
"03-01-2017","2,540","6,991","5.32","50","716","173","15","19","959"
"04-01-2017","2,542","6,664","4.78","15","682","152","19","35","978"
"05-01-2017","2,403","5,245","3.82","19","724","169","5","6","814"
"06-01-2017","2,966","7,998","5.74","32","687","220","46","15","1,448"
"07-01-2017","2,890","6,565","4.71","5","1,015","366","24","31","1,609"
"08-01-2017","2,365","2,861","2.05","5","612","324","0","0","997"
"09-01-2017","2,682","7,435","5.34","23","658","253","15","10","1,176"
"10-01-2017","2,913","9,280","6.66","39","687","291","11","11","1,436"
"11-01-2017","2,814","9,988","7.17","49","668","244","16","24","1,303"
"12-01-2017","2,846","7,814","5.74","34","692","223","27","15","1,336"
"13-01-2017","2,679","9,037","6.6","33","700","212","23","19","1,184"
"14-01-2017","2,402","6,247","4.49","18","814","151","15","14","802"
"15-01-2017","2,267","4,149","2.98","18","717","135","16","7","666"
"16-01-2017","2,764","10,045","7.21","33","691","244","24","13","1,296"
"17-01-2017","3,120","8,545","6.14","30","603","197","54","69","1,729"
"18-01-2017","2,904","10,941","7.86","40","617","215","43","37","1,453"
"19-01-2017","2,904","9,752","7.05","45","599","263","22","26","1,468"
"20-01-2017","2,768","9,468","6.85","44","625","218","19","34","1,307"
"21-01-2017","2,109","3,160","0.63","6","872","20","0","0","65"
"22-01-2017","2,203","3,491","2.51","4","1,440","0","0","0","0"
"23-01-2017","2,479","8,509","6.11","34","1,440","0","0","0","0"
"24-01-2017","2,939","9,438","6.78","21","1,440","0","0","0","0"
"25-01-2017","2,740","9,621","6.91","29","946","266","9","4","1,302"
"26-01-2017","2,872","9,448","6.78","51","1,130","264","22","24","1,434"
"27-01-2017","2,538","6,723","4.83","20","751","189","4","12","984"
"28-01-2017","2,438","4,774","3.43","10","721","231","0","0","868"
"29-01-2017","2,092","2,072","1.49","26","697","141","0","0","471"
"30-01-2017","3,100","10,023","7.2","38","610","275","35","33","1,663"
"31-01-2017","2,541","6,712","4.82","27","717","190","5","7","984"

Sleep
Date,Minutes Asleep,Minutes Awake,Number of Awakenings,Time in Bed
"01-01-2017","0","0","0","0"
"02-01-2017","0","0","0","0"
"03-01-2017","461","45","1","510"
"04-01-2017","483","44","4","530"
"05-01-2017","490","43","3","536"
"06-01-2017","479","36","1","515"
"07-01-2017","0","0","0","0"
"08-01-2017","483","24","2","507"
"09-01-2017","464","30","1","494"
"10-01-2017","417","33","0","450"
"11-01-2017","424","27","2","451"
"12-01-2017","481","39","1","520"
"13-01-2017","453","33","0","486"
"14-01-2017","427","18","0","446"
"15-01-2017","507","39","1","546"
"16-01-2017","437","48","0","487"
"17-01-2017","406","48","3","454"
"18-01-2017","551","39","3","590"
"19-01-2017","481","19","1","500"
"20-01-2017","466","42","2","508"
"21-01-2017","557","50","4","614"
"22-01-2017","0","0","0","0"
"23-01-2017","0","0","0","0"
"24-01-2017","0","0","0","0"
"25-01-2017","202","13","0","215"
"26-01-2017","0","0","0","0"
"27-01-2017","467","17","0","484"
"28-01-2017","471","17","1","488"
"29-01-2017","547","33","1","580"
"30-01-2017","443","54","2","497"
"31-01-2017","455","36","2","491"

