Body
Date,Weight,BMI,Fat
"01-02-2017","74.6","24.93","8.829"
"02-02-2017","74.74","24.97","8.85"
"03-02-2017","74.88","25.02","8.871"
"04-02-2017","74.85","25.01","8.876"
"05-02-2017","74.83","25","8.881"
"06-02-2017","74.8","24.99","8.886"
"07-02-2017","74.28","24.82","8.891"
"08-02-2017","73.76","24.64","8.897"
"09-02-2017","73.76","24.64","9.26"
"10-02-2017","74.07","24.75","9.338"
"11-02-2017","74.42","24.87","9.338"
"12-02-2017","74.77","24.98","9.338"
"13-02-2017","74.89","25.02","9.338"
"14-02-2017","75","25.06","9.338"
"15-02-2017","75.12","25.1","9.338"
"16-02-2017","75.23","25.14","9.338"
"17-02-2017","75.35","25.18","9.338"
"18-02-2017","74.99","25.06","9.342"
"19-02-2017","74.99","25.06","9.312"
"20-02-2017","74.99","25.06","9.281"
"21-02-2017","74.76","24.98","9.388"
"22-02-2017","74.54","24.9","9.495"
"23-02-2017","74.31","24.83","9.604"
"24-02-2017","74.54","24.91","9.803"
"25-02-2017","74.54","24.91","9.803"
"26-02-2017","74.54","24.91","9.803"

Activities
Date,Calories Burned,Steps,Distance,Floors,Minutes Sedentary,Minutes Lightly Active,Minutes Fairly Active,Minutes Very Active,Activity Calories
"01-02-2017","2,566","6,721","4.88","22","708","233","0","0","1,026"
"02-02-2017","2,860","9,179","6.59","32","658","252","26","20","1,383"
"03-02-2017","2,557","6,823","4.9","20","656","202","17","10","1,015"
"04-02-2017","2,915","11,047","7.93","14","696","257","35","32","1,454"
"05-02-2017","2,039","3,197","2.3","9","739","112","0","0","440"
"06-02-2017","2,961","11,148","8.27","39","637","257","18","27","1,488"
"07-02-2017","2,709","8,166","5.86","26","696","223","49","16","1,269"
"08-02-2017","2,740","8,851","6.36","25","642","284","18","6","1,314"
"09-02-2017","2,919","7,909","5.68","53","683","155","27","63","1,388"
"10-02-2017","2,327","5,593","4.02","17","788","197","0","0","773"
"11-02-2017","2,290","5,407","3.88","12","699","144","12","15","730"
"12-02-2017","3,447","19,656","14.11","87","600","200","96","84","2,081"
"13-02-2017","3,203","12,481","8.96","32","567","259","56","57","1,839"
"14-02-2017","2,484","6,375","4.58","17","762","199","8","3","935"
"15-02-2017","2,454","7,398","5.31","30","698","186","15","15","918"
"16-02-2017","2,879","11,409","8.19","34","687","235","30","33","1,417"
"17-02-2017","2,714","8,751","6.39","37","720","239","7","19","1,223"
"18-02-2017","2,307","5,744","4.12","17","820","112","8","20","692"
"19-02-2017","2,199","5,284","3.79","19","871","129","0","0","583"
"20-02-2017","2,450","7,696","5.53","33","1,151","167","9","11","869"
"21-02-2017","2,820","9,025","6.48","32","604","225","35","31","1,378"
"22-02-2017","2,910","8,744","6.28","28","631","267","24","26","1,457"
"23-02-2017","3,163","11,212","8.05","42","605","306","39","25","1,810"
"24-02-2017","2,995","13,820","10.15","40","632","286","12","30","1,559"
"25-02-2017","2,313","7,279","5.23","27","771","120","16","29","779"
"26-02-2017","2,374","7,353","5.28","31","1,222","93","23","40","828"

Sleep
Date,Minutes Asleep,Minutes Awake,Number of Awakenings,Time in Bed
"01-02-2017","457","35","2","492"
"02-02-2017","491","30","0","522"
"03-02-2017","514","30","3","545"
"04-02-2017","418","19","2","438"
"05-02-2017","508","15","0","523"
"06-02-2017","479","38","3","522"
"07-02-2017","454","42","1","496"
"08-02-2017","450","19","1","469"
"09-02-2017","471","39","2","511"
"10-02-2017","404","77","3","482"
"11-02-2017","430","24","1","456"
"12-02-2017","527","40","2","574"
"13-02-2017","457","44","2","501"
"14-02-2017","433","28","1","462"
"15-02-2017","435","40","2","484"
"16-02-2017","468","34","0","503"
"17-02-2017","418","27","1","446"
"18-02-2017","455","23","2","489"
"19-02-2017","405","35","1","440"
"20-02-2017","0","0","0","0"
"21-02-2017","524","36","2","570"
"22-02-2017","446","57","1","503"
"23-02-2017","474","27","2","505"
"24-02-2017","425","32","1","462"
"25-02-2017","489","57","5","546"
"26-02-2017","0","0","0","0"

